Original Occupation,Matched ONET Occupation
tank car truck and ship loaders,tank car truck and ship loaders
tapers,tapers
tax examiners collectors and preparers and revenue agents,tax examiners and collectors and revenue agents
teaching assistants except postsecondary,teaching assistants postsecondary
teaching assistants postsecondary,teaching assistants postsecondary
team assemblers,team assemblers
telecommunications equipment installers and repairers except line installers,telecommunications equipment installers and repairers except line installers
television video and film camera operators and editors,camera operators television video and film
terrazzo workers and finishers,terrazzo workers and finishers
textile bleaching and dyeing machine operators and tenders,textile bleaching and dyeing machine operators and tenders
textile cutting machine setters operators and tenders,textile cutting machine setters operators and tenders
textile knitting and weaving machine setters operators and tenders,textile knitting and weaving machine setters operators and tenders
textile machine setters operators and tenders,textile cutting machine setters operators and tenders
textile winding twisting and drawing out machine setters operators and tenders,textile winding twisting and drawing out machine setters operators and tenders
tile and stone setters,tile and stone setters
timing device assemblers and adjusters,timing device assemblers and adjusters
tire repairers and changers,tire repairers and changers
title examiners abstractors and searchers,title examiners abstractors and searchers
tool grinders filers and sharpeners,tool grinders filers and sharpeners
tour guides and escorts,tour guides and escorts
traffic technicians,traffic technicians
transit and railroad police,transit and railroad police
travel guides,travel guides
tree trimmers and pruners,tree trimmers and pruners
umpires referees and other sports officials,umpires referees and other sports officials
veterinary technologists and technicians,veterinary technologists and technicians
watch and clock repairers,watch and clock repairers
web developers,web developers
welders cutters solderers and brazers,welders cutters solderers and brazers
welding soldering and brazing machine setters operators and tenders,welding soldering and brazing machine setters operators and tenders
wellhead pumpers,wellhead pumpers
woodworking machine setters operators and tenders,woodworking machine setters operators and tenders except sawing
zoologists and wildlife biologists,zoologists and wildlife biologists
