Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Massage therapists,56993,4664.0,14922,2799.0,42071,3748.0,73.8,4.0,39057,2082,41927,5086,37558,2202,89.6,11.8,2022
Dental assistants,191514,8420.0,13126,2173.0,178388,8193.0,93.1,1.1,37410,704,46858,4020,37080,644,79.1,6.8,2022
Medical assistants,465770,13967.0,41162,3744.0,424608,13018.0,91.2,0.7,37053,328,40256,1884,36930,328,91.7,4.4,2022
Medical transcriptionists,19435,2582.0,2967,1115.0,16468,2424.0,84.7,5.4,31004,2875,18416,5646,33063,4864,(X),(X),2022
Pharmacy aides,23074,3328.0,6216,1754.0,16858,2861.0,73.1,6.5,39272,2577,42692,10375,38750,2701,(X),(X),2022
Veterinary assistants and laboratory animal caretakers,50948,4057.0,8182,1821.0,42766,3667.0,83.9,3.2,32269,898,37670,5773,31684,816,84.1,12.1,2022
Phlebotomists,101559,6579.0,17136,2624.0,84423,5795.0,83.1,2.3,38768,1362,42319,2445,37723,1328,89.1,6.1,2022
Other healthcare support workers,143021,7744.0,45764,3940.0,97257,6712.0,68.0,2.4,42127,818,50501,1818,39449,1401,78.1,4.1,2022
Protective Service Occupations:,2713817,30889.0,2175087,26802.0,538730,14119.0,19.9,0.5,62004,476,64749,554,50411,770,77.9,1.4,2022
First-line supervisors of correctional officers,37625,3654.0,25871,3063.0,11754,2099.0,31.2,4.7,65477,5509,71318,3591,56946,3588,79.8,6.6,2022
First-line supervisors of police and detectives,90789,4975.0,76478,4673.0,14311,1781.0,15.8,1.8,96540,5383,101381,4041,76515,6643,75.5,7.3,2022
First-line supervisors of firefighting and prevention workers,54918,3944.0,52862,3989.0,2056,798.0,3.7,1.5,104238,4180,105051,4551,100436,31343,(X),(X),2022
First-line supervisors of security workers,70684,5156.0,50729,4305.0,19955,2543.0,28.2,3.0,62698,3034,70114,6220,50207,3148,71.6,8.8,2022
"First-line supervisors of protective service workers, all other",3275,1053.0,2280,899.0,995,544.0,30.4,14.3,86258,22788,93803,16043,64372,19479,(X),(X),2022
Firefighters,323153,11674.0,306960,10810.0,16193,2736.0,5.0,0.8,77897,1804,78369,1932,70174,9622,89.5,12.6,2022
Fire inspectors,26258,2818.0,23547,2581.0,2711,901.0,10.3,3.1,72207,4913,72163,5304,72702,19553,(X),(X),2022
Bailiffs,21671,2839.0,15015,2400.0,6656,1493.0,30.7,5.9,61087,8212,61309,10113,60858,11242,(X),(X),2022
Correctional officers and jailers,288930,11109.0,210944,9819.0,77986,5440.0,27.0,1.7,57250,1296,60376,1144,49947,2231,82.7,3.9,2022
Detectives and criminal investigators,134308,7152.0,98355,5826.0,35953,3576.0,26.8,2.2,91309,2125,95839,1556,82150,3475,85.7,4,2022
Fish and game wardens,8848,1660.0,8028,1630.0,820,500.0,9.3,5.5,64097,4912,65987,7558,62990,4790,(X),(X),2022
Parking enforcement workers,5293,1143.0,3726,977.0,1567,682.0,29.6,11.0,49192,4007,49970,4596,46356,14564,(X),(X),2022
Police officers,772084,17858.0,664790,16164.0,107294,8028.0,13.9,0.9,75312,886,77017,854,64004,2439,83.1,3.3,2022
Animal control workers,7040,1364.0,4380,1025.0,2660,1009.0,37.8,10.8,44010,7122,40054,8179,47627,8790,(X),(X),2022
Private detectives and investigators,98592,5514.0,50303,4275.0,48289,3368.0,49.0,2.7,63832,2308,73665,5545,55552,3859,75.4,7.9,2022
Security guards and gambling surveillance officers,682764,15226.0,530934,14076.0,151830,7714.0,22.2,1.0,38977,674,40021,634,36032,970,90,3,2022
Crossing guards and flaggers,13006,2052.0,8801,1785.0,4205,1104.0,32.3,7.4,37087,6546,39571,7921,32354,11658,(X),(X),2022
Transportation security screeners,31862,3843.0,20340,2871.0,11522,2178.0,36.2,5.0,48817,2371,51035,2671,45231,3355,88.6,8.4,2022
School bus monitors,11736,1886.0,1124,467.0,10612,1939.0,90.4,4.2,27271,5110,28949,7708,27091,5254,(X),(X),2022
Other protective service workers,30981,3072.0,19620,2537.0,11361,1835.0,36.7,4.9,41309,2861,46536,5313,34628,3803,74.4,11.5,2022
Food Preparation and Serving Related Occupations:,3352373,39682.0,1759798,29679.0,1592575,25645.0,47.5,0.6,30448,123,32097,172,27393,209,85.3,0.8,2022
Chefs and head cooks,350589,10775.0,280063,9444.0,70526,5147.0,20.1,1.3,41162,732,42271,1143,36114,1586,85.4,4.8,2022
First-line supervisors of food preparation and serving workers,325460,11378.0,137696,7872.0,187764,8305.0,57.7,1.8,34348,934,39145,1035,31326,554,80,2.4,2022
Cooks,1066428,22383.0,659827,16824.0,406601,13669.0,38.1,1.0,28866,404,30497,265,26278,378,86.2,1.5,2022
Food preparation workers,329509,11660.0,136027,7078.0,193482,9904.0,58.7,1.9,26966,353,28536,960,26250,381,92,3.3,2022
Bartenders,205622,10346.0,104293,7578.0,101329,6101.0,49.3,2.2,37187,1124,40614,1164,34599,1809,85.2,4.6,2022
Fast food and counter workers,196440,9156.0,74695,5640.0,121745,7238.0,62.0,2.3,25493,532,27504,1597,24846,822,90.3,6.1,2022
Waiters and waitresses,588675,16687.0,216293,9468.0,372382,12255.0,63.3,1.2,30000,794,32411,853,27070,401,83.5,2.4,2022
"Food servers, nonrestaurant",74727,5516.0,29713,3665.0,45014,4226.0,60.2,3.8,29730,1608,29674,3579,29753,1786,100.3,14.5,2022
Dining room and cafeteria attendants and bartender helpers,73246,4513.0,35119,3976.0,38127,3735.0,52.1,4.3,25902,931,28472,2759,23785,1412,83.5,8.7,2022
Dishwashers,91285,6794.0,71684,6239.0,19601,2497.0,21.5,2.6,26007,665,26381,677,23978,1987,90.9,7.8,2022
"Hosts and hostesses, restaurant, lounge, and coffee shop",43548,4485.0,10790,2355.0,32758,3970.0,75.2,4.8,26295,1700,30323,3183,25477,1865,84,11.9,2022
"Food preparation and serving related workers, all other",6844,1483.0,3598,1103.0,3246,1064.0,47.4,11.7,26950,1802,27485,6713,25294,5146,(X),(X),2022
Building and Grounds Cleaning and Maintenance Occupations:,3258466,40112.0,2164053,31338.0,1094413,22450.0,33.6,0.5,34080,316,37239,244,29141,396,78.3,1.2,2022
First-line supervisors of housekeeping and janitorial workers,180417,7742.0,102480,5896.0,77937,5582.0,43.2,2.3,45454,1315,51616,1341,38773,1713,75.1,3.5,2022
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",132818,6507.0,122152,6248.0,10666,2039.0,8.0,1.5,49384,1613,49706,1483,46521,4379,93.6,8.9,2022
Janitors and building cleaners,1438528,22814.0,1010792,18251.0,427736,13400.0,29.7,0.8,34389,414,37216,359,29297,484,78.7,1.5,2022
Maids and housekeeping cleaners,641801,15923.0,112470,5384.0,529331,14322.0,82.5,0.8,28253,621,32074,668,27215,381,84.9,1.9,2022
Pest control workers,83839,5967.0,77939,6021.0,5900,1712.0,7.0,2.1,43601,2064,44103,2093,40791,1479,(X),(X),2022
Landscaping and groundskeeping workers,693110,18209.0,654085,17371.0,39025,3422.0,5.6,0.5,33603,1002,34036,982,29617,1851,87,5.4,2022
Tree trimmers and pruners,75766,5766.0,72872,5744.0,2894,1261.0,3.8,1.7,41539,1173,41514,1155,47500,21791,(X),(X),2022
Other grounds maintenance workers,12187,1697.0,11263,1704.0,924,393.0,7.6,3.3,38576,3918,39916,3623,35720,8388,(X),(X),2022
Personal Care and Service Occupations:,1848587,31277.0,529611,17795.0,1318976,22824.0,71.4,0.7,33756,545,40014,675,31713,237,79.3,1.4,2022
Supervisors of personal care and service workers,41393,4106.0,20413,2951.0,20980,3124.0,50.7,5.4,51622,1667,54841,3668,46389,4758,84.6,10.4,2022
Animal trainers,37531,4092.0,15778,2678.0,21753,2675.0,58.0,4.7,35230,3935,40882,6076,31347,2179,76.7,12.2,2022
Animal caretakers,160405,7490.0,44743,4061.0,115662,6512.0,72.1,2.2,32127,839,36633,1834,31277,738,85.4,4.5,2022
Gambling services workers,61595,4285.0,37221,3468.0,24374,2758.0,39.6,3.6,46786,3204,49199,2784,42957,4145,87.3,9.6,2022
"Ushers, lobby attendants, and ticket takers",6272,1369.0,2789,1002.0,3483,1001.0,55.5,12.0,30673,4140,24911,11214,35054,7644,(X),(X),2022
Other entertainment attendants and related workers,60712,4523.0,35140,3595.0,25572,2961.0,42.1,3.9,33301,2111,33870,2830,32660,2801,96.4,11.4,2022
"Embalmers, crematory operators and funeral attendants",11737,2267.0,7949,1734.0,3788,1412.0,32.3,9.3,40189,8256,42307,9020,31977,7430,(X),(X),2022
"Morticians, undertakers, and funeral arrangers",36592,3382.0,24063,2533.0,12529,2123.0,34.2,4.4,62682,2509,69717,5143,52754,4044,75.7,8.3,2022
Barbers,83677,7500.0,67965,6921.0,15712,2270.0,18.8,2.6,31446,931,31947,1208,28297,4543,88.6,14.6,2022
"Hairdressers, hairstylists, and cosmetologists",389613,12540.0,42836,3941.0,346777,11545.0,89.0,0.9,35435,855,42387,2661,34470,1698,81.3,6.3,2022
Manicurists and pedicurists,166605,9576.0,38464,4471.0,128141,6975.0,76.9,1.9,30404,565,32855,2284,28284,1664,86.1,7.6,2022
Skincare specialists,51760,4622.0,1527,1170.0,50233,4551.0,97.0,2.2,38826,2686,22116,16193,39295,2473,(X),(X),2022
Other personal appearance workers,11158,2115.0,1144,790.0,10014,2023.0,89.7,6.8,31674,2099,41740,22024,30946,2095,(X),(X),2022
"Baggage porters, bellhops, and concierges",62045,5080.0,46024,4242.0,16021,2590.0,25.8,3.5,38753,2249,42504,2905,34545,2164,81.3,6.9,2022
Tour and travel guides,18514,3278.0,11128,2538.0,7386,1975.0,39.9,8.3,41393,1919,41499,1053,39603,14969,(X),(X),2022
Childcare workers,391950,13555.0,18982,2609.0,372968,12624.0,95.2,0.6,27034,474,36302,7070,26820,442,73.9,14,2022
Exercise trainers and group fitness instructors,89723,5329.0,48141,3757.0,41582,4037.0,46.3,3.2,40982,1162,41796,1749,40103,4169,95.9,10.7,2022
Recreation workers,79705,5446.0,25277,2886.0,54428,4211.0,68.3,2.8,37839,1548,42696,2961,35189,1637,82.4,6.4,2022
Residential advisors,26995,2986.0,11491,2001.0,15504,2055.0,57.4,5.2,36536,2145,37026,1819,35429,4539,95.7,11.8,2022
"Personal care and service workers, all other",60605,6002.0,28536,4393.0,32069,3857.0,52.9,4.7,33727,3441,31877,954,36343,2376,114,7.5,2022
Sales and Office Occupations:,22008192,78559.0,9084640,50990.0,12923552,62711.0,58.7,0.2,47167,139,56483,367,42390,98,75,0.5,2022
Sales and Related Occupations:,9812069,50982.0,5706063,41483.0,4106006,37093.0,41.8,0.3,53543,299,63240,407,42808,392,67.7,0.8,2022
First-Line supervisors of retail sales workers,2487276,28014.0,1414992,21992.0,1072284,19168.0,43.1,0.6,51220,361,57730,863,43654,575,75.6,1.5,2022
First-Line supervisors of non-retail sales workers,1008909,18909.0,632045,14055.0,376864,11258.0,37.4,0.8,70620,1021,75161,1204,63169,1366,84,2.4,2022
Cashiers,976641,21452.0,310156,10687.0,666485,17634.0,68.2,0.9,27174,247,30290,438,26362,267,87,1.6,2022
Counter and rental clerks,41478,4021.0,26360,3386.0,15118,2414.0,36.4,4.9,40551,2027,42288,3105,36658,2986,86.7,9.6,2022
Parts salespersons,96452,6666.0,81980,6079.0,14472,2347.0,15.0,2.2,44241,2911,45276,2304,40616,3273,89.7,8.4,2022
Retail salespersons,1647053,26542.0,1030492,18334.0,616561,16447.0,37.4,0.7,41498,376,47582,931,34094,877,71.7,2.2,2022
Advertising sales agents,89469,6003.0,46972,4551.0,42497,3623.0,47.5,3.1,76977,3858,80735,6074,72974,5119,90.4,9.6,2022
Insurance sales agents,502598,14312.0,248551,9728.0,254047,10139.0,50.5,1.4,59999,1590,76553,2070,50297,1101,65.7,2.5,2022
"Securities, commodities, and financial services sales agents",206990,9478.0,152236,8511.0,54754,4463.0,26.5,1.9,111951,10343,136388,21958,75096,7077,55.1,10.5,2022
Travel agents,38810,3926.0,8596,1682.0,30214,3306.0,77.9,3.6,46454,1877,46293,2066,46567,2892,100.6,7.7,2022
"Sales representatives of services, except advertising, insurance, financial services, and travel",596182,14347.0,425701,12497.0,170481,7322.0,28.6,1.1,83377,2194,90555,2307,70422,1793,77.8,2.8,2022
"Sales representatives, wholesale and manufacturing",1058819,19659.0,779159,17122.0,279660,10978.0,26.4,0.9,78987,1454,82319,1231,66587,1663,80.9,2.3,2022
"Models, demonstrators, and product promoters",10302,1972.0,3684,1023.0,6618,1577.0,64.2,7.9,41621,9930,48933,17904,40143,13480,(X),(X),2022
Real estate brokers and sales agents,655760,14371.0,318831,11192.0,336929,9238.0,51.4,1.1,77013,1798,84043,2752,68174,3165,81.1,4.6,2022
Sales engineers,50251,3909.0,45359,3660.0,4892,1089.0,9.7,2.0,127221,7689,129371,9436,113766,14149,(X),(X),2022
Telemarketers,16248,2683.0,5706,1778.0,10542,2025.0,64.9,8.4,34728,4050,36238,7011,33773,4809,(X),(X),2022
"Door-to-door sales workers, news and street vendors, and related workers",38869,3841.0,23154,3611.0,15715,1939.0,40.4,5.2,41300,2096,45696,5207,33846,3257,74.1,11.2,2022
"Sales and related workers, all other",289962,10802.0,152089,8102.0,137873,5979.0,47.5,1.6,50709,1920,61359,3223,41194,2016,67.1,4.5,2022
Office and Administrative Support Occupations:,12196123,68817.0,3378577,35701.0,8817546,56883.0,72.3,0.2,44038,159,50124,285,42303,112,84.4,0.5,2022
First-Line supervisors of office and administrative support workers,953207,18108.0,323571,11456.0,629636,14067.0,66.1,0.9,57333,691,66794,1450,53106,620,79.5,1.9,2022
"Switchboard operators, including answering service",11874,1886.0,2928,1376.0,8946,1526.0,75.3,9.8,40252,3405,48845,29342,39214,3752,(X),(X),2022
Telephone operators,15731,2451.0,6116,1805.0,9615,1925.0,61.1,8.9,39341,4946,47477,7751,35736,4167,(X),(X),2022
"Communications equipment operators, all other",5668,1349.0,3095,952.0,2573,893.0,45.4,11.2,51271,2627,51447,3634,51014,16842,(X),(X),2022
Bill and account collectors,105008,6418.0,27962,3422.0,77046,5472.0,73.4,2.8,42864,1377,44797,6073,42284,1151,94.4,12.3,2022
Billing and posting clerks,370927,10684.0,48936,4084.0,321991,10898.0,86.8,1.1,41977,348,50728,1900,41328,401,81.5,3.4,2022
"Bookkeeping, accounting, and auditing clerks",850499,16937.0,115992,7690.0,734507,14623.0,86.4,0.8,47035,505,51198,1164,46557,516,90.9,2.2,2022
Gambling cage workers,7341,1242.0,2408,829.0,4933,1250.0,67.2,10.9,31780,4019,31393,8330,32494,6325,(X),(X),2022
Payroll and timekeeping clerks,124075,6167.0,16920,2499.0,107155,5388.0,86.4,1.8,51778,1133,53940,4272,51433,1121,95.4,7.2,2022
Procurement clerks,36330,3317.0,17550,2449.0,18780,2574.0,51.7,5.2,61387,4305,64556,5828,57749,5856,89.5,11.9,2022
Tellers,167582,7656.0,23650,2921.0,143932,6992.0,85.9,1.6,33782,720,36047,1849,33404,727,92.7,5.3,2022
"Financial clerks, all other",104481,6119.0,39337,3785.0,65144,4473.0,62.4,2.6,61535,3261,88556,14054,51929,2049,58.6,9.8,2022
Brokerage clerks,5847,1579.0,1654,782.0,4193,1374.0,71.7,11.7,53382,9072,61194,10617,47374,11149,(X),(X),2022
Correspondence clerks,4848,1377.0,1518,788.0,3330,1097.0,68.7,13.5,45744,9247,54600,24686,41658,9568,(X),(X),2022
"Court, municipal, and license clerks",73774,5004.0,12604,1734.0,61170,4835.0,82.9,2.3,44356,1581,52170,3762,43050,1500,82.5,6.9,2022
"Credit authorizers, checkers, and clerks",34485,3668.0,10482,2082.0,24003,2969.0,69.6,4.9,44388,1946,58500,14438,42936,1447,73.4,19.5,2022
Customer service representatives,2108914,31296.0,696037,16367.0,1412877,26270.0,67.0,0.7,41370,212,45658,874,40097,321,87.8,2,2022
"Eligibility interviewers, government programs",77316,6159.0,15366,2199.0,61950,5251.0,80.1,2.4,50543,1291,60667,4251,48354,2019,79.7,6.2,2022
File clerks,96686,5197.0,24360,3344.0,72326,4571.0,74.8,3.0,41600,805,42364,2717,41383,863,97.7,6.3,2022
"Hotel, motel, and resort desk clerks",70171,4652.0,28886,3667.0,41285,3861.0,58.8,4.2,29720,1213,31783,1098,27806,1404,87.5,5.6,2022
"Interviewers, except eligibility and loan",137223,7818.0,30032,3495.0,107191,6822.0,78.1,2.2,37872,1024,38935,1606,37468,1044,96.2,4.5,2022
"Library assistants, clerical",39045,3229.0,9004,1697.0,30041,3006.0,76.9,4.0,38400,1660,44515,2030,36641,1500,82.3,5.3,2022
Loan interviewers and clerks,134100,7791.0,29804,2807.0,104296,6848.0,77.8,1.8,53499,1683,55997,4358,52955,1833,94.6,8.2,2022
New accounts clerks,9954,1782.0,2997,1372.0,6957,1498.0,69.9,11.6,42090,3522,69491,37836,40597,2015,(X),(X),2022
Order clerks,65223,4695.0,30838,3576.0,34385,3553.0,52.7,4.1,40953,1004,42307,3092,40105,2024,94.8,8.6,2022
"Human resources assistants, except payroll and timekeeping",82093,6295.0,17075,2768.0,65018,5397.0,79.2,2.9,58281,3164,71021,5775,56287,2395,79.3,7.2,2022
Receptionists and information clerks,750839,16389.0,80272,4492.0,670567,15455.0,89.3,0.6,34559,433,39448,1975,34147,431,86.6,4.4,2022
Reservation and transportation ticket agents and travel clerks,90388,6065.0,45249,3711.0,45139,4203.0,49.9,2.8,45994,3802,49818,3115,41464,2904,83.2,6.9,2022
"Information and record clerks, all other",75570,4435.0,19136,2435.0,56434,3818.0,74.7,2.8,42195,951,50717,5277,41292,846,81.4,8.7,2022
Cargo and freight agents,20152,2922.0,10986,1917.0,9166,2016.0,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022
Couriers and messengers,338721,12003.0,271688,11497.0,67033,4840.0,19.8,1.4,39075,856,41323,823,31434,819,76.1,2.7,2022
Public safety telecommunicators,89011,6209.0,31609,3592.0,57402,4734.0,64.5,3.0,49822,2061,53644,4639,47478,2094,88.5,8.5,2022
"Dispatchers, except police, fire, and ambulance",162023,8343.0,74151,5089.0,87872,6931.0,54.2,2.7,46014,1089,52101,1829,41487,787,79.6,3.2,2022
"Meter readers, utilities",15812,2322.0,14185,2147.0,1627,690.0,10.3,4.0,48302,3855,48833,4777,36174,21328,(X),(X),2022
Postal service clerks,108218,7339.0,50954,4336.0,57264,4963.0,52.9,2.6,57431,2833,62120,2239,52300,2344,84.2,4.8,2022
Postal service mail carriers,301244,9651.0,188178,7524.0,113066,6004.0,37.5,1.6,61859,877,64813,1388,56680,1841,87.5,3.4,2022
"Postal service mail sorters, processors, and processing machine operators",50805,4481.0,27976,3136.0,22829,2901.0,44.9,4.0,52996,2833,55348,6007,50992,3994,92.1,13.2,2022
"Production, planning, and expediting clerks",239078,9093.0,117293,6465.0,121785,6272.0,50.9,1.9,59645,1806,68540,1519,50161,1740,73.2,3,2022
"Shipping, receiving, and inventory clerks",514600,12561.0,342668,10844.0,171932,8450.0,33.4,1.4,39681,483,41324,438,36061,614,87.3,2,2022
"Weighers, measurers, checkers, and samplers, recordkeeping",64622,4591.0,36504,3642.0,28118,3171.0,43.5,3.9,42892,3170,49678,4280,38743,2258,78,8.7,2022
Executive secretaries and executive administrative assistants,238929,8288.0,13612,1870.0,225317,8203.0,94.3,0.8,66457,1338,63168,6051,66750,1312,105.7,11.4,2022
Legal secretaries and administrative assistants,49918,4540.0,2368,1015.0,47550,4244.0,95.3,1.9,55072,2909,60891,5994,54249,2942,(X),(X),2022
Medical secretaries and administrative assistants,100514,5586.0,8551,1836.0,91963,5497.0,91.5,1.8,40976,729,41143,9078,40972,718,(X),(X),2022
"Secretaries and administrative assistants, except legal, medical, and executive",1505203,21867.0,104869,5940.0,1400334,20383.0,93.0,0.4,43554,389,50397,1331,43062,408,85.4,2.4,2022
Data entry keyers,199714,7737.0,49798,3542.0,149916,7268.0,75.1,1.7,39117,818,42294,1884,38204,971,90.3,4.8,2022
Word processors and typists,18546,2579.0,2632,795.0,15914,2539.0,85.8,4.4,39859,1951,44432,16004,38796,2570,(X),(X),2022
Desktop publishers,1958,960.0,1211,794.0,747,574.0,38.2,25.5,62270,19286,73448,12620,50724,3172,(X),(X),2022
Insurance claims and policy processing clerks,209533,9381.0,37511,4090.0,172022,8644.0,82.1,1.8,43916,749,52352,3546,42396,560,81,5.2,2022
"Mail clerks and mail machine operators, except postal service",35948,3798.0,18444,2715.0,17504,2441.0,48.7,4.8,36818,1390,39923,2008,35025,1617,87.7,5.6,2022
"Office clerks, general",821193,13879.0,146046,6991.0,675147,12872.0,82.2,0.8,40976,290,43344,1434,40659,321,93.8,3.3,2022
"Office machine operators, except computer",19501,2953.0,8849,1845.0,10652,2111.0,54.6,6.7,36252,2964,41003,5991,31554,2010,(X),(X),2022
Proofreaders and copy markers,6456,1370.0,1457,584.0,4999,1125.0,77.4,7.4,46136,4307,53507,5310,42373,4718,(X),(X),2022
Statistical assistants,23890,2817.0,11685,1881.0,12205,1832.0,51.1,5.1,61689,2557,64470,6330,59542,3728,92.4,10.8,2022
"Office and administrative support workers, all other",451335,11800.0,121573,6669.0,329762,9102.0,73.1,1.2,47979,775,54109,1516,46177,588,85.3,2.7,2022
"Natural Resources, Construction, and Maintenance Occupations:",10738294,68884.0,10288762,68755.0,449532,12690.0,4.2,0.1,51155,141,51568,143,37784,958,73.3,1.8,2022
"Farming, Fishing, and Forestry Occupations:",599195,15076.0,478411,13005.0,120784,6594.0,20.2,0.9,35511,413,37396,474,29304,1269,78.4,3.4,2022
"First-line supervisors of farming, fishing, and forestry workers",40401,3583.0,34810,3243.0,5591,1405.0,13.8,3.1,53892,2282,54908,2291,45011,8772,(X),(X),2022
Agricultural inspectors,10816,1907.0,7309,1481.0,3507,1021.0,32.4,7.2,51558,5579,54320,6232,48915,2514,(X),(X),2022
Animal breeders,6161,1364.0,4211,1140.0,1950,698.0,31.7,9.4,39600,7765,41198,9536,36541,9098,(X),(X),2022
"Graders and sorters, agricultural products",32517,3545.0,11241,2136.0,21276,3099.0,65.4,5.7,32162,1608,41573,3212,30267,1934,72.8,7.2,2022
Miscellaneous agricultural workers,437891,12331.0,353605,10959.0,84286,5460.0,19.2,1.1,32681,606,35187,489,27054,738,76.9,2.3,2022
Fishing and hunting workers,20879,2969.0,19980,2900.0,899,572.0,4.3,2.7,44273,4832,44817,4993,41622,17730,(X),(X),2022
Forest and conservation workers,12887,1763.0,10573,1637.0,2314,727.0,18.0,5.2,44896,5168,48045,3758,34028,889,(X),(X),2022
Logging workers,37643,2953.0,36682,2861.0,961,448.0,2.6,1.2,41369,1444,41561,1483,29128,4607,(X),(X),2022
Construction and Extraction Occupations:,5992219,52477.0,5806646,51165.0,185573,8412.0,3.1,0.1,50311,217,50558,221,40164,1258,79.4,2.5,2022
First-line supervisors of construction trades and extraction workers,587435,14669.0,565155,14560.0,22280,2969.0,3.8,0.5,65656,1134,66251,1255,52112,4806,78.7,7.6,2022
Boilermakers,8834,1595.0,8653,1607.0,181,217.0,2.0,2.5,80405,10066,80544,10027,-,**,-,**,2022
"Brickmasons, blockmasons, and stonemasons",90674,6768.0,89868,6690.0,806,520.0,0.9,0.6,46331,1987,46505,2014,25968,11011,(X),(X),2022
Carpenters,886647,19804.0,869538,19243.0,17109,2693.0,1.9,0.3,46349,788,46567,799,32484,6210,69.8,13.2,2022
"Carpet, floor, and tile installers and finishers",96342,7531.0,92820,7366.0,3522,1506.0,3.7,1.5,41543,1116,41648,1084,34855,9350,(X),(X),2022
"Cement masons, concrete finishers, and terrazzo workers",38585,3589.0,38093,3556.0,492,396.0,1.3,1.0,50305,2181,50417,2107,33804,33866,(X),(X),2022
Construction laborers,1255611,23842.0,1212160,24205.0,43451,4220.0,3.5,0.3,41059,328,41197,342,35888,1575,87.1,4,2022
Construction equipment operators,318887,9987.0,310548,9809.0,8339,1647.0,2.6,0.5,54533,762,54658,791,46865,5011,85.7,9.1,2022
"Drywall installers, ceiling tile installers, and tapers",90045,5533.0,86600,5786.0,3445,1112.0,3.8,1.3,41895,1060,42135,1068,33424,9008,(X),(X),2022
Electricians,824589,19177.0,808472,19093.0,16117,2130.0,2.0,0.3,60520,746,60671,726,50310,2599,82.9,4.3,2022
Glaziers,39110,3577.0,38468,3515.0,642,555.0,1.6,1.4,51007,2275,51123,2271,37593,105763,(X),(X),2022
Insulation workers,35301,4034.0,34106,3856.0,1195,980.0,3.4,2.7,46916,2941,47537,2629,30753,33956,(X),(X),2022
Painters and paperhangers,376244,13931.0,348688,13911.0,27556,3791.0,7.3,1.0,40040,828,40449,628,31832,939,78.7,2.5,2022
Pipelayers,43677,3677.0,43138,3751.0,539,355.0,1.2,0.8,48787,2068,48726,2098,50949,22301,(X),(X),2022
"Plumbers, pipefitters, and steamfitters",511269,14450.0,504122,14601.0,7147,1588.0,1.4,0.3,56011,1046,56056,1064,54722,4279,(X),(X),2022
Plasterers and stucco masons,18737,3009.0,18665,3014.0,72,118.0,0.4,0.6,46948,7279,47098,7755,-,**,-,**,2022
Reinforcing iron and rebar workers,4058,1187.0,4058,1187.0,0,210.0,0.0,4.4,54118,9284,54118,9284,-,**,-,**,2022
Roofers,135365,8167.0,131660,8045.0,3705,1253.0,2.7,0.9,42398,1403,42546,1552,26437,8097,(X),(X),2022
Sheet metal workers,112911,7065.0,108376,6607.0,4535,1238.0,4.0,1.0,51193,1421,51666,1432,42055,3158,(X),(X),2022
Structural iron and steel workers,47691,4332.0,46854,4251.0,837,557.0,1.8,1.1,62047,2496,62083,2491,58690,57976,(X),(X),2022
Solar photovoltaic installers,16049,2666.0,15690,2565.0,359,427.0,2.2,2.6,48691,4293,49266,4499,-,**,-,**,2022
"Helpers, construction trades",27323,3015.0,24892,2825.0,2431,1110.0,8.9,3.8,35690,2350,35414,2598,36921,7641,(X),(X),2022
Construction and building inspectors,95228,5872.0,87109,5731.0,8119,1579.0,8.5,1.6,64488,1523,66071,3405,50749,7589,76.8,12.1,2022
Elevator and escalator installers and repairers,28847,3441.0,28510,3401.0,337,317.0,1.2,1.1,100748,7411,101064,6072,35354,44673,(X),(X),2022
Fence erectors,21258,3231.0,20708,3092.0,550,492.0,2.6,2.2,41048,2149,41146,1795,24784,121321,(X),(X),2022
Hazardous materials removal workers,18283,2887.0,13521,2365.0,4762,1577.0,26.0,7.2,49931,7753,52492,4342,38333,10032,(X),(X),2022
Highway maintenance workers,65146,4732.0,64231,4680.0,915,440.0,1.4,0.7,45332,1370,45431,1344,39089,3969,(X),(X),2022
Rail-track laying and maintenance equipment operators,6113,1242.0,6073,1227.0,40,70.0,0.7,1.1,65258,7088,64954,7069,-,**,-,**,2022
Septic tank servicers and sewer pipe cleaners,7298,1569.0,7065,1551.0,233,218.0,3.2,3.0,48667,8776,51338,9395,45216,14994,(X),(X),2022
Miscellaneous construction and related workers,34834,4211.0,33136,4002.0,1698,861.0,4.9,2.3,40408,3332,40694,3278,32062,12250,(X),(X),2022
"Derrick, rotary drill, and service unit operators, oil and gas",18191,2932.0,18043,2922.0,148,226.0,0.8,1.2,73260,13320,72891,13333,-,**,-,**,2022
"Excavating and loading machine and dragline operators, surface mining",6566,1511.0,6325,1544.0,241,217.0,3.7,3.5,54145,6732,54124,7887,54232,22582,(X),(X),2022
