Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Gaming managers,15477,1758.0,10129,1417.0,5348,1170.0,34.55450022614202,6.5,55674,5819,56664,8926,52872,6227,93.30792037272342,18.4,2016
Lodging managers,107568,5734.0,50893,3792.0,56675,4558.0,52.68760226089544,3.2,45875,1807,51697,1832,41285,1145,79.85956631912877,3.6,2016
Medical and health services managers,606615,11531.0,176012,6730.0,430603,9999.0,70.98456187202757,0.9,71739,750,87311,3047,66855,876,76.57110787873235,2.9,2016
Natural sciences managers,17916,1981.0,8464,1527.0,9452,1392.0,52.75731189997768,5.1,92161,11812,111817,10376,76768,9964,68.65503456540598,11,2016
Postmasters and mail superintendents,20947,2406.0,11398,1820.0,9549,1304.0,45.58648016422399,3.4,71429,948,72401,3138,67745,4019,93.56914959738126,6.9,2016
"Property, real estate, and community association managers",459115,10712.0,233710,7103.0,225405,7807.0,49.095542511135555,1.3,51957,590,61797,1225,46405,788,75.09264203763937,2,2016
Social and community service managers,296269,8924.0,91027,4183.0,205242,7693.0,69.27555701068961,1.5,56610,773,68388,3529,52444,1006,76.6859682985319,4.2,2016
Emergency management directors,7304,1388.0,5663,1319.0,1641,599.0,22.4671412924425,7.0,68834,6104,68407,7074,70337,23709,(X),(X),2016
"Managers, all other",3758629,31438.0,2472383,25093.0,1286246,18609.0,34.221148189938404,0.4,78843,1058,84600,1380,67769,1311,80.10520094562648,2,2016
Business and Financial Operations Occupations,6123442,37510.0,2814981,29961.0,3308461,25111.0,54.029433119477574,0.3,63511,458,74011,863,56897,298,76.9,1,2016
"Agents and business managers of artists, performers, and athletes",33337,3818.0,17328,2356.0,16009,2227.0,48.02171761106278,3.8,51728,2495,55328,7454,50761,3937,91.74558993637942,14.3,2016
"Buyers and purchasing agents, farm products",7795,1301.0,5584,1047.0,2211,750.0,28.36433611289288,8.4,66349,4797,69214,7849,57352,12767,(X),(X),2016
"Wholesale and retail buyers, except farm products",139871,6122.0,71088,4447.0,68783,4294.0,49.17602648154371,2.2,41625,876,41612,1574,41637,1247,100.06007882341632,4.8,2016
"Purchasing agents, except wholesale, retail, and farm products",253717,7897.0,122410,5830.0,131307,5213.0,51.753331467737674,1.3,54740,1558,60366,989,51121,620,84.6850876321108,1.7,2016
"Claims adjusters, appraisers, examiners, and investigators",271129,9435.0,105531,5150.0,165598,7308.0,61.07719941430094,1.7,52582,1135,60840,870,50024,966,82.22222222222221,2,2016
Compliance officers,226344,7585.0,107204,5395.0,119140,5702.0,52.63669458876754,1.8,69262,2222,73211,3041,64588,2074,88.22171531600442,4.6,2016
Cost estimators,122804,5612.0,105522,5415.0,17282,1900.0,14.07283150385981,1.4,63106,1804,65805,1115,49752,3618,75.60519717346706,5.6,2016
Human resources workers,678049,13678.0,188438,7495.0,489611,11789.0,72.20879316981517,0.9,57369,884,66412,1923,54975,1061,82.77871469011625,2.9,2016
"Compensation, benefits, and job analysis specialists",47978,3563.0,10731,1783.0,37247,3095.0,77.63349868689816,2.9,54108,3093,62886,6056,51522,1426,81.92920522850872,8.2,2016
Training and development specialists,111303,5046.0,50284,3499.0,61019,3700.0,54.8224216777625,2.2,58739,3093,65332,3572,52456,2925,80.29143451907181,6.3,2016
Logisticians,117328,4387.0,77464,3784.0,39864,3154.0,33.97654438838129,2.4,52260,1148,55233,1921,50220,1476,90.92390418771387,4.1,2016
Management analysts,630863,11588.0,369877,8099.0,260986,8942.0,41.36967931230711,1.2,83080,1848,91169,977,76338,975,83.73240904254736,1.4,2016
"Meeting, convention, and event planners",96349,5575.0,24116,2970.0,72233,4805.0,74.97016056212311,2.5,46598,1026,42729,4863,47221,1374,110.51276650518382,13,2016
Fundraisers,68581,3864.0,20709,2101.0,47872,3118.0,69.80358991557428,2.3,66048,1339,77186,9364,64272,2599,83.26898660378825,10.6,2016
Market research analysts and marketing specialists,237008,8119.0,103644,5151.0,133364,5503.0,56.269830554242894,1.3,70985,993,82565,4481,64398,2652,77.99672984920971,5.3,2016
"Business operations specialists, all other",236553,8302.0,110674,5355.0,125879,6288.0,53.21386750537934,1.9,61811,1228,73014,3286,52499,2293,71.9026488070781,4.5,2016
Accountants and auditors,1628824,22541.0,656553,14897.0,972271,16071.0,59.69159344410446,0.5,63740,912,76129,621,57370,659,75.35893023683484,1.1,2016
Appraisers and assessors of real estate,73690,4418.0,50409,3624.0,23281,2152.0,31.59316053738635,2.2,60533,1628,62298,4197,50291,3046,80.72650807409548,7.3,2016
Budget analysts,42410,3427.0,16123,1854.0,26287,2747.0,61.98302287196415,4.1,71237,1973,75399,3473,68955,3569,91.45346755262005,6.3,2016
Credit analysts,26382,3164.0,12589,1965.0,13793,2163.0,52.28185884315063,5.3,53909,3990,58520,6984,51419,3667,87.86568694463432,12.2,2016
Financial analysts,194932,7214.0,117808,6083.0,77124,4304.0,39.56456610510332,1.7,82415,1852,93203,3858,73427,3190,78.78179886913512,4.7,2016
Personal financial advisors,327459,9846.0,231444,8128.0,96015,5586.0,29.321228001062728,1.5,91150,1655,101634,671,69479,3771,68.36196548399158,3.7,2016
